Article;Désignation;Qtite;Vendeur;R_vendeur;Acheteur;R_acheteur;Type_Op;Utilisateur;dpr;pmp;DATE;HEURE
14003669;champi pieds etmorceaux 2500G ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:31:00
22000092;TOMATE RONDE 55/65            ;1.588;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:22:17
22000952;COURGETTE VERTE               ;1.246;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:20:26
22000090;CAROTTE                       ;0.772;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:20:01
22000128;SALADE LAITUE                 ;0.966;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:17:55
15001484;PETITS POIS 1KG               ;1.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;10:53:13
10002167;BOIS ORANG CAROT CITRON33CLPET;3.000;BOISSONS                      ;10;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;10:09:04
23001340;ASSORTIMENT DE 4 TARTES MM    ;1.000;BOULANGERIE / PATISSERIE      ;23;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;10:08:53
22000139;CITRON VERT LOCAL             ;4.356;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;10:08:38
32014248;MARQUEUR RCHABLE  NOIR COUPE  ;2.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;09:08:51
32027466;MARQUEUR RECH WB ROUGE COUPE  ;2.000;CULTURE-PAPETRIE              ;32;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;09:08:12
22000839;Olives denoyautees coupees    ;6.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;09:03:32
22000271;FRAISE 1CAT LOCAL             ;1.338;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;04/03/2018 ;09:00:42
14002085;huil de table 5L              ;4.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;09:00:23
14010828;SEMOULE 1KG MOYENNE MAMA      ;1.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;09:00:11
22000218;CONCOMBRE                     ;1.394;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:22:40
22000435;GRAINS DE NIGELLE             ;4.394;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;04/03/2018 ;12:22:56
14000953;Vinaigre BOUT Plastique 75 Cl ;20.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:30:12
14003907;huile dolive vierge extr 75cl;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:29:43
14002100;LAIT EN POUDRE SACHET 1KG     ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:28:59
14014203;RIZ BASMATI BLANC THIKA 500G  ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:28:28
14003133;TOMASAUCE 1L x 12 jumbo       ;12.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:28:08
15004227;CREME FRAICHE LIQUIDE 450ML   ;5.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:27:23
15002571;DIOUL 10 FEUILLES 180G        ;5.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:27:06
14002081;HUILE OLEOR 5L               ;10.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:26:50
31017662;BROSSE A LINGE BUCTO          ;1.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;12:26:22
14014717;SUCRE GLACE EL MORDJANE 700G  ;30.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;04/03/2018 ;12:25:29
14002100;LAIT EN POUDRE SACHET 1KG     ;6.000;EPICERIE                      ;14;BOULANGERIE;23;Cession interne;ELSALGER1;;;04/03/2018 ;12:24:44
24000004;CUISSE POULET LS              ;6.085;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:23:58
24000009;ESCALOPE POULET TRAD          ;3.054;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:23:40
22000414;POIVRON JAUNE                 ;4.738;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;12:23:14
14000953;Vinaigre BOUT Plastique 75 Cl ;6.000;EPICERIE                      ;14;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:59:35
24000009;ESCALOPE POULET TRAD          ;15.000;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:59:23
24000153;MERGUEZ SPECIAL ARDIS LS      ;1.828;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:59:07
22000271;FRAISE 1CAT LOCAL             ;4.346;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;04/03/2018 ;08:50:54
22000090;CAROTTE                       ;14.570;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:50:30
22000092;TOMATE RONDE 55/65            ;61.800;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:50:14
24000121;VIANDE DE VEAU SANS OS LS     ;12.595;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:49:54
11001992;Rouleaux en aluminium menager ;2.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;08:48:05
11001531;INDUSTRIEL 02 ROULEAUX        ;12.000;DROGUERIE                     ;11;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;08:44:02
31018582;CUILLERE GF                   ;114.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;08:42:54
31018581;FOUCHETTE                     ;124.000;CONFORT DE LA MAISON          ;31;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;08:42:37
21000007;CREVETTE ROUGE ROYALE         ;10.000;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:42:15
21000018;ROUGET                        ;4.800;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:41:36
21000011;DORADE                        ;1.255;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:41:02
21000109;FILET SAUMON 1/2 KG           ;2.640;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:36:18
21000028;SEPIA                         ;11.200;POISSONNERIE                  ;21;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:35:40
15002571;DIOUL 10 FEUILLES 180G        ;6.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:33:26
22001153;ORANGE DE TABLE LOCAL         ;3.064;FRUITS ET LEGUMES             ;22;BOULANGERIE;23;Cession interne;ELSALGER1;;;04/03/2018 ;08:51:12
22001135;OGNON EN POUDRE               ;13.190;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:52:40
24000153;MERGUEZ SPECIAL ARDIS LS      ;12.090;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:58:48
24000044;ESCALOPE DE DINDE LS          ;13.300;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:58:32
24000062;CUISSE DE DINDE SANS OS TRAD  ;11.100;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:58:12
24000121;VIANDE DE VEAU SANS OS LS     ;0.808;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:57:57
22000073;POIVRON VERT                  ;3.800;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:57:32
22000583;AIL EN POUDRE GRANULE         ;10.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:56:58
22000552;PIMENT DOUX MAROCAIN          ;10.000;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:56:39
22000428;SAFRAN 1er choix              ;12.500;FRUITS ET LEGUMES             ;22;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:55:51
15004134;CREVETTE 20 40 500G           ;6.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:55:10
30007280;PINCEAU ROND  UNIVERSEL N 20  ;1.000;BRICOLAGE                     ;30;MOYENS GENERAUX ALGER;99;Auto-consommation;ELSALGER1;;;04/03/2018 ;08:54:35
24000153;MERGUEZ SPECIAL ARDIS LS      ;11.005;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:54:03
15003264;MELANGE PAELLA VRAC           ;6.375;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:53:43
24000009;ESCALOPE POULET TRAD          ;11.095;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:53:26
24000004;CUISSE POULET LS              ;13.820;BOUCHERIE / VOLAILLE          ;24;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:52:59
15002453;DIOUL EDDAR 12 FEUILLES       ;2.000;P.L.S.                        ;15;CHARCUTERIE TRAITEUR;20;Cession interne;ELSALGER1;;;04/03/2018 ;08:31:47
